Cust_Number,Yearly_Income,Age,Cust_Spend_Score,Sex
CUSTID69,23000,54,34,1
CUSTID70,25000,53,94,0
CUSTID71,106000,45,21,1
CUSTID72,54000,34,85,0
CUSTID73,79000,34,8,1
CUSTID74,37000,50,41,1
CUSTID75,134000,34,12,1
CUSTID76,78000,68,97,1
CUSTID77,117000,36,51,0
CUSTID78,27000,29,31,0
CUSTID79,75000,50,14,1
CUSTID80,25000,49,71,1
CUSTID81,123000,31,13,0
CUSTID82,71000,55,1,0
CUSTID83,26000,48,9,1
CUSTID84,27000,66,17,0
CUSTID85,82000,51,84,0
CUSTID86,27000,70,25,1
CUSTID87,40000,67,77,1
CUSTID88,70000,68,98,0
CUSTID89,77000,20,60,0
CUSTID90,87000,46,51,1
CUSTID91,92000,54,41,1
CUSTID92,62000,44,52,0
CUSTID93,92000,58,52,1
CUSTID94,37000,62,63,1
CUSTID95,51000,66,22,1
CUSTID96,113000,28,83,1
CUSTID97,36000,66,64,0
CUSTID98,45000,54,71,1
CUSTID99,47000,45,10,1
CUSTID100,75000,67,51,1
CUSTID101,18000,39,12,0
CUSTID102,22000,67,2,0
CUSTID103,73000,58,29,0
CUSTID104,37000,57,45,1
CUSTID105,99000,47,21,1
CUSTID106,113000,50,51,0
CUSTID107,87000,66,58,0
CUSTID108,101000,27,97,1
CUSTID109,65000,51,16,1
CUSTID110,24000,65,44,0
CUSTID111,70000,42,73,1
CUSTID112,62000,29,20,0
CUSTID113,89000,38,34,0
CUSTID114,34000,28,30,0
CUSTID115,45000,66,30,0
CUSTID116,115000,34,31,0
CUSTID117,49000,30,3,1
CUSTID118,67000,22,44,1
CUSTID119,129000,62,34,1
CUSTID120,51000,62,6,0
CUSTID121,35000,37,28,1
CUSTID122,102000,34,41,0
CUSTID123,85000,52,4,1
CUSTID124,91000,57,92,0
CUSTID125,23000,68,52,1
CUSTID126,68000,19,37,1
CUSTID127,19000,53,39,1
CUSTID128,47000,63,31,0
CUSTID129,102000,68,67,0
CUSTID130,25000,70,5,0
CUSTID131,53000,19,85,1
CUSTID132,136000,36,34,1
CUSTID133,134000,20,72,0
CUSTID134,75000,41,13,0
CUSTID135,106000,53,34,0
CUSTID136,93000,38,44,0
CUSTID137,73000,35,31,0
CUSTID138,120000,40,65,0
CUSTID139,39000,46,68,0
CUSTID140,117000,61,90,1
CUSTID141,23000,25,23,0
CUSTID142,121000,51,1,0
CUSTID143,98000,61,74,1
CUSTID144,71000,50,60,0
CUSTID145,98000,46,71,1
CUSTID146,73000,34,50,0
CUSTID147,111000,45,61,1
CUSTID148,31000,61,65,1
CUSTID149,78000,26,67,1
CUSTID150,122000,38,62,1
CUSTID151,128000,26,97,0
CUSTID152,44000,42,18,1
CUSTID153,48000,32,57,1
CUSTID154,126000,30,15,1
CUSTID155,59000,37,85,1
CUSTID156,25000,54,45,0
CUSTID157,103000,27,85,0
CUSTID158,67000,44,90,1
CUSTID159,106000,68,44,1
CUSTID160,75000,23,47,1
CUSTID161,78000,38,58,1
CUSTID162,68000,49,29,1
CUSTID163,53000,59,14,1
CUSTID164,125000,60,55,1
CUSTID165,98000,35,5,0
CUSTID166,112000,27,61,1
CUSTID167,125000,50,34,1
CUSTID168,48000,31,2,1
CUSTID169,127000,62,22,1
CUSTID170,121000,25,22,1
CUSTID171,78000,46,13,0
CUSTID172,86000,54,30,0
CUSTID173,32000,60,60,1
CUSTID174,109000,26,55,1
CUSTID175,39000,44,24,1
CUSTID176,82000,42,91,1
CUSTID177,33000,38,67,1
CUSTID178,27000,62,54,1
CUSTID179,90000,48,54,0
CUSTID180,76000,35,36,1
CUSTID181,98000,70,42,1
CUSTID182,112000,50,29,1
CUSTID183,135000,40,57,1
CUSTID184,28000,57,14,0
CUSTID185,93000,49,65,1
CUSTID186,87000,50,27,1
CUSTID187,95000,41,83,1
CUSTID188,83000,42,88,1
CUSTID189,84000,51,56,0
CUSTID190,121000,39,60,1
CUSTID191,72000,69,7,1
CUSTID192,82000,44,80,1
CUSTID193,100000,33,34,0
CUSTID194,29000,46,27,1
CUSTID195,69000,29,76,0
CUSTID196,30000,59,68,0
CUSTID197,34000,35,96,0
CUSTID198,18000,69,67,1
CUSTID199,43000,25,97,1
CUSTID200,44000,31,34,0
